Etc/UTC,Open,High,Low,Close,Volume
2026-07-31T15:34:00+00:00,28015.976,28046.42,27988.431,28045.576,119680
2026-07-31T15:35:00+00:00,28048.499,28076.12,28044.586,28062.665,127380
2026-07-31T15:36:00+00:00,28063.289,28086.42,28058.608,28067.809,123860
2026-07-31T15:37:00+00:00,28067.286,28093.298,28067.219,28089.731,111980
2026-07-31T15:38:00+00:00,28090.986,28132.687,28090.698,28121.242,106700
2026-07-31T15:39:00+00:00,28121.489,28126.264,28102.009,28107.389,112640
2026-07-31T15:40:00+00:00,28107.953,28120.975,28094.965,28102.021,120780
2026-07-31T15:41:00+00:00,28101.121,28103.199,28044.243,28052.442,128480
2026-07-31T15:42:00+00:00,28052.443,28064.389,28040.032,28052.953,118800
2026-07-31T15:43:00+00:00,28053.231,28074.289,28036.197,28073.621,121660
2026-07-31T15:44:00+00:00,28073.432,28089.165,28069.676,28085.932,119460
2026-07-31T15:45:00+00:00,28086.175,28097.731,28062.775,28077.198,122100
2026-07-31T15:46:00+00:00,28077.598,28093.698,28066.21,28066.232,124300
2026-07-31T15:47:00+00:00,28067.087,28074.789,28039.298,28052.554,124080
2026-07-31T15:48:00+00:00,28053.042,28073.919,28042.775,28072.489,123860
2026-07-31T15:49:00+00:00,28072.61,28081.676,28054.787,28067.52,119460
2026-07-31T15:50:00+00:00,28067.142,28109.554,28062.075,28104.599,121220
2026-07-31T15:51:00+00:00,28105.575,28125.719,28098.797,28124.665,120120
2026-07-31T15:52:00+00:00,28124.231,28142.753,28103.198,28136.898,108240
2026-07-31T15:53:00+00:00,28135.865,28141.664,28116.489,28126.619,105820
2026-07-31T15:54:00+00:00,28126.154,28160.121,28121.543,28153.387,103620
2026-07-31T15:55:00+00:00,28153.399,28164.209,28134.286,28145.842,108020
2026-07-31T15:56:00+00:00,28144.898,28156.72,28141.143,28150.653,107580
2026-07-31T15:57:00+00:00,28150.597,28163.686,28149.331,28155.632,100540
2026-07-31T15:58:00+00:00,28156.175,28167.709,28139.865,28140.164,104280
2026-07-31T15:59:00+00:00,28141.221,28149.809,28124.364,28146.543,102520
2026-07-31T16:00:00+00:00,28147.742,28167.708,28130.61,28165.409,113300
2026-07-31T16:01:00+00:00,28166.889,28181.364,28160.043,28160.043,101200
2026-07-31T16:02:00+00:00,28161.808,28171.208,28143.643,28153.664,107580
2026-07-31T16:03:00+00:00,28154.254,28165.676,28149.776,28160.253,102960
2026-07-31T16:04:00+00:00,28160.232,28179.989,28158.342,28163.665,96580
2026-07-31T16:05:00+00:00,28163.243,28170.419,28145.909,28147.632,102300
2026-07-31T16:06:00+00:00,28147.542,28153.989,28125.386,28138.676,102960
2026-07-31T16:07:00+00:00,28138.664,28142.289,28118.275,28131.299,102960
2026-07-31T16:08:00+00:00,28131.308,28150.309,28127.775,28149.087,101420
2026-07-31T16:09:00+00:00,28149.789,28155.789,28144.875,28147.243,105600
2026-07-31T16:10:00+00:00,28148.308,28160.708,28142.31,28152.899,107580
2026-07-31T16:11:00+00:00,28152.721,28168.654,28146.153,28167.664,103400
2026-07-31T16:12:00+00:00,28168.289,28176.865,28155.875,28161.542,98560
2026-07-31T16:13:00+00:00,28162.064,28177.31,28152.908,28176.364,99000
2026-07-31T16:14:00+00:00,28177.409,28181.276,28156.264,28173.676,96580
2026-07-31T16:15:00+00:00,28173.843,28183.065,28135.231,28138.642,102520
2026-07-31T16:16:00+00:00,28138.865,28156.775,28129.389,28153.82,108680
2026-07-31T16:17:00+00:00,28153.709,28168.576,28146.52,28163.798,102300
2026-07-31T16:18:00+00:00,28163.999,28173.11,28153.321,28170.576,103620
2026-07-31T16:19:00+00:00,28170.387,28176.232,28159.054,28165.398,96580
2026-07-31T16:20:00+00:00,28165.642,28181.908,28158.909,28181.853,102520
2026-07-31T16:21:00+00:00,28181.708,28187.842,28167.053,28175.521,95920
2026-07-31T16:22:00+00:00,28175.631,28188.799,28170.053,28183.319,92400
2026-07-31T16:23:00+00:00,28183.353,28193.675,28182.798,28192.099,91080
2026-07-31T16:24:00+00:00,28191.242,28213.898,28191.242,28205.619,90860
2026-07-31T16:25:00+00:00,28206.11,28207.331,28179.02,28186.899,96800
2026-07-31T16:26:00+00:00,28185.742,28200.389,28179.532,28198.187,93500
2026-07-31T16:27:00+00:00,28200.375,28211.798,28195.731,28196.31,89540
2026-07-31T16:28:00+00:00,28195.697,28219.209,28193.375,28216.789,91740
2026-07-31T16:29:00+00:00,28217.631,28237.064,28216.543,28237.064,86680
2026-07-31T16:30:00+00:00,28236.642,28254.419,28228.186,28228.675,95260
2026-07-31T16:31:00+00:00,28229.521,28248.665,28226.331,28247.831,93060
2026-07-31T16:32:00+00:00,28249.621,28256.589,28245.687,28251.165,86900
2026-07-31T16:33:00+00:00,28251.021,28260.287,28243.354,28257.832,89980
2026-07-31T16:34:00+00:00,28257.831,28260.065,28244.686,28249.676,86240
2026-07-31T16:35:00+00:00,28248.387,28262.308,28246.099,28256.021,71060
2026-07-31T16:36:00+00:00,28256.198,28257.643,28234.099,28235.776,92400
2026-07-31T16:37:00+00:00,28235.353,28247.899,28234.099,28242.865,88660
2026-07-31T16:38:00+00:00,28242.919,28245.332,28229.621,28231.853,89320
